Mode,PulseNo,E0(V),E_tau(V),E_eq_OCV(V),dEt(V),dEs(V),D_scaled(cm^2/s),Capacity(Ah)
Discharge,1,0.777657148325762,0.615496586676947,0.704284118530291,0.1621605616488151,0.073373029795471,0.00043445149303383525,8.34662531771608e-06
Discharge,2,0.704284118530291,0.58374271243773,0.662048382891721,0.12054140609256103,0.04223573563857008,0.0002605232502745533,1.66932465302719e-05
Discharge,3,0.662048382891721,0.561545829474394,0.629215493508453,0.10050255341732695,0.032832889383268005,0.00022647636384308362,2.50398485426393e-05
Discharge,4,0.629215493508453,0.54150697679916,0.600390374660232,0.08770851670929292,0.02882511884822092,0.0002292015490842706,3.33864855771549e-05
Discharge,5,0.600390374660232,0.522084704206241,0.573106706017798,0.07830567045399106,0.027283668642434034,0.0002576190511979478,4.17331252201577e-05
Discharge,6,0.573106706017798,0.502816576633901,0.546593762478258,0.070290129383897,0.026512943539540035,0.0003019159636574465,5.00797803430354e-05
Discharge,7,0.546593762478258,0.482623578938089,0.520080818938718,0.06397018354016898,0.026512943539539924,0.0003645184951027733,5.84264147690637e-05
Discharge,8,0.520080818938718,0.461505711118804,0.493722020419757,0.05857510781991404,0.026358798518961057,0.000429718346348109,6.67730518035792e-05
Discharge,9,0.493722020419757,0.43900053811431,0.467054931859638,0.05472148230544699,0.026667088560119012,0.00050395802862366,7.5119695936601e-05
Discharge,10,0.467054931859638,0.416957800171553,0.441312713422991,0.050097131688084995,0.02574221843664698,0.0005603057619427154,8.34663108203561e-05
Discharge,11,0.441312713422991,0.394144337125902,0.415878785027502,0.047168376297088976,0.025433928395489025,0.0006169982094745338,9.18130113138067e-05
Discharge,12,0.415878785027502,0.37148501910083,0.391061436714328,0.04439376592667199,0.024817348313173948,0.0006631711805370549,0.000100159645782597
Discharge,13,0.391061436714328,0.348979846096337,0.367323103545205,0.04208159061799105,0.02373833316912305,0.0006752662060615968,0.000108506326006819
Discharge,14,0.367323103545205,0.326782963133001,0.344355495478975,0.040540140412203995,0.022967608066229994,0.0006811141583817949,0.000116852961117041
Discharge,15,0.344355495478975,0.30520266025198,0.322004467495061,0.039152835226994975,0.022351027983913974,0.0006915561366703777,0.000125199622483222
Discharge,16,0.322004467495061,0.284393082473853,0.300578309634618,0.03761138502120803,0.021426157860442996,0.0006886662759739129,0.000133546298516859
Discharge,17,0.300578309634618,0.26420008477804,0.280077021897648,0.03637822485657799,0.02050128773697002,0.0006739662425434735,0.000141892960909393
Discharge,18,0.280077021897648,0.244623667164542,0.260192314242993,0.035453354733105985,0.019884707654655,0.0006675481809684195,0.000150239624370977
Discharge,19,0.260192314242993,0.225509684612781,0.24123247671181,0.034682629630211986,0.018959837531182994,0.0006341676073184913,0.000158586281760346
Discharge,20,0.24123247671181,0.20747471720507,0.223043364283521,0.03375775950674001,0.018189112428288995,0.0006160765142821642,0.000166932940860198
Discharge,21,0.223043364283521,0.190210474900254,0.205316686916968,0.032832889383267005,0.017726677366553006,0.0006185792420346964,0.000175279580588827
Discharge,22,0.205316686916968,0.173562812677752,0.188669024694466,0.031753874239215996,0.016647662222501997,0.0005832730877003669,0.00018362620783093
Discharge,23,0.188669024694466,0.157685875558143,0.172946232595437,0.030983149136322996,0.015722792099028993,0.0005464709711568049,0.000191972846576031
Discharge,24,0.172946232595437,0.142887953582586,0.157531730537565,0.03005827901285102,0.01541450205787201,0.0005580712446789884,0.000200319542836131
Discharge,25,0.157531730537565,0.128244176627607,0.143350388644322,0.029287553909957992,0.014181341893242994,0.0004975392200664213,0.000208666190261936
Discharge,26,0.143350388644322,0.11467941481668,0.129785626833395,0.028670973827642013,0.013564761810927,0.00047500515639710346,0.000217012899051326
Discharge,27,0.129785626833395,0.102039523129225,0.116837445104782,0.027746103704170008,0.012948181728613006,0.0004621387977187127,0.000225359649277173
Discharge,28,0.116837445104782,0.0903245015652418,0.105276568561378,0.0265129435395402,0.011560876543404,0.00040348231246254145,0.000233706327662724
Discharge,29,0.105276568561378,0.0798426401658887,0.0944864171208673,0.025433928395489303,0.010790151440510695,0.00038193289067660807,0.000242053028113508
Discharge,30,0.0944864171208673,0.0709022289723229,0.0853918609067227,0.023584188148544405,0.009094556214144608,0.00031555860674834,0.00025039969679208
Discharge,31,0.0853918609067227,0.0628866879022294,0.0776846098777866,0.022505173004493298,0.007707251028936102,0.000248881815055822,0.000258746433077491
Discharge,32,0.0776846098777866,0.056412597037923,0.0716729540752165,0.021272012839863595,0.006011655802570098,0.00016948446995923057,0.000267093087516296
Discharge,33,0.0716729540752165,0.0500926511941954,0.0661237333343825,0.0215803028810211,0.005549220740833999,0.000140316194725916,0.000275439814650623
Discharge,34,0.0661237333343825,0.0446975754739402,0.0614993827170209,0.021426157860442295,0.004624350617361599,9.884888551848791e-05,0.00028378645861272
Discharge,35,0.0614993827170209,0.0379151945684764,0.0570291771202379,0.023584188148544502,0.004470205596782996,7.623808913397243e-05,0.000292133113393621
Discharge,36,0.0570291771202379,0.0274333331691233,0.0528672615646124,0.029595843951114604,0.004161915555625506,4.196468226055864e-05,0.000300479791821948
Discharge,37,0.0528672615646124,0.00986080082314906,0.076913884774893,0.04300646074146334,0.0240466232102806,0.0006634369539761606,0.000306822552507374
Charge,1,0.00986080082314906,0.076913884774893,0.0565667420585017,0.06705308395174393,0.04670594123535264,0.0010295930714104937,8.34412520536491e-06
Charge,2,0.0565667420585017,0.0798426401658887,0.0638115580257017,0.023275898107387,0.007244815967199995,0.00020558938601523532,1.6688490391549e-05
Charge,3,0.0638115580257017,0.0850835708655653,0.0709022289723229,0.021272012839863602,0.007090670946621205,0.00023578510087688228,2.50327656490664e-05
Charge,4,0.0709022289723229,0.0915576617298716,0.0781470449395228,0.020655432757548706,0.007244815967199905,0.0002610627974233278,3.33770001970784e-05
Charge,5,0.0781470449395228,0.100498072923437,0.0883206162977184,0.022351027983914196,0.01017357135819559,0.00043965370248644843,4.17213126576103e-05
Charge,6,0.0883206162977184,0.113292109631471,0.102039523129225,0.024971493333752606,0.013718906831506603,0.0006404848367784395,5.00655385676809e-05
Charge,7,0.102039523129225,0.128860756709922,0.118070605269412,0.026821233580697004,0.016031082140187003,0.00075810096643414,5.84097297121759e-05
Charge,8,0.118070605269412,0.146587434076475,0.136105572677122,0.028516828807063008,0.018034967407710004,0.0008487643597701204,6.67539870096668e-05
Charge,9,0.136105572677122,0.166009706669394,0.155219555228884,0.029904133992271986,0.019113982551762,0.0008669594377656559,7.50983089634502e-05
Charge,10,0.155219555228884,0.186048559344628,0.175258407904118,0.03082900411574399,0.020038852675234003,0.0008965728460843803,8.3442541287908e-05
Charge,11,0.175258407904118,0.207320572184492,0.196222130702824,0.032062164280374006,0.02096372279870598,0.0009072145671313082,9.17868247985791e-05
Charge,12,0.196222130702824,0.22920916510667,0.217648288563266,0.03298703440384601,0.021426157860442024,0.0008952842039999147,0.000100131056267795
Charge,13,0.217648288563266,0.251714338111164,0.239845171526602,0.03406604954789799,0.022196882963335995,0.0009009471277419837,0.000108475321348008
Charge,14,0.239845171526602,0.274990236218551,0.262658634572253,0.035145064691949,0.022813463045651017,0.0008941545792256204,0.000116819583862497
Charge,15,0.262658634572253,0.298728569387674,0.28593453267964,0.03606993481542098,0.02327589810738695,0.0008836515590226405,0.000125163925230242
Charge,16,0.28593453267964,0.32323762765969,0.309364575807605,0.03730309498005002,0.02343004312796504,0.0008371731906279324,0.000133508198948327
Charge,17,0.309364575807605,0.348054975972865,0.333102908976729,0.038690400165259986,0.023738333169123993,0.0007988272419734071,0.000141852409977201
Charge,18,0.333102908976729,0.373026469306618,0.357457822228167,0.039923560329888974,0.024354913251438015,0.0007897206858069223,0.000150196660005095
Charge,19,0.357457822228167,0.399385267825579,0.382121025520762,0.04192744559741196,0.02466320329259497,0.0007342788608622443,0.000158540870734636
Charge,20,0.382121025520762,0.425281631282804,0.406938373833936,0.043160605762042004,0.024817348313174004,0.0007016080407967636,0.00016688535591122
Charge,21,0.406938373833936,0.452257009884081,0.432064012188268,0.04531863605014502,0.025125638354332014,0.0006522880409410487,0.000175229742435682
Charge,22,0.432064012188268,0.480465548649987,0.457497940583757,0.048401536461718964,0.02543392839548897,0.0005859593121663827,0.000183574098043154
Charge,23,0.457497940583757,0.509444812518786,0.483394304040982,0.05194687193502906,0.025896363457225013,0.0005273726825484185,0.000191918427095375
Charge,24,0.483394304040982,0.540427961655109,0.509907247580522,0.05703365761412699,0.02651294353953998,0.00045857704761924367,0.000200262737289518
Charge,25,0.509907247580522,0.573723286100113,0.53672848116122,0.06381603851959106,0.02682123358069799,0.0003748492813562613,0.000208607024563186
Charge,26,0.53672848116122,0.609484930874377,0.564628729885969,0.07275644971315709,0.027900248724749055,0.00031205562880839315,0.000216951473520285
Charge,27,0.564628729885969,0.650179216307159,0.59345384873419,0.08555048642119001,0.028825118848221032,0.0002409107141727928,0.000225295885830281
Charge,28,0.59345384873419,0.697193447583669,0.623974562808777,0.10373959884947892,0.030520714074586897,0.00018367883675586417,0.000233640161643709
Charge,29,0.623974562808777,0.754227105197796,0.656961597212623,0.13025254238901907,0.032987034403846094,0.0001361046606460814,0.000241984659819968
Charge,30,0.656961597212623,0.827908425034425,0.693956402151516,0.17094682782180193,0.036994804938892956,9.938440897499399e-05,0.000250329106296928
Charge,31,0.693956402151516,0.933189474089692,0.737579442975294,0.239233071938176,0.04362304082377799,7.05583319897985e-05,0.00025867351061047
Charge,32,0.737579442975294,1.1012075465205,0.791838490219005,0.363628103545206,0.054259047243711,4.7248531325548526e-05,0.000267017976159341
Charge,33,0.791838490219005,1.36602869187474,0.866290535158527,0.574190201655735,0.07445204493952207,3.5678006114045406e-05,0.000275362533133587
Charge,34,0.866290535158527,1.76988864579099,0.974192049563632,0.9035981106324629,0.10790151440510498,3.0259609563898187e-05,0.000283707027974505
Charge,35,0.974192049563632,2.00002716151503,1.88888860167777,1.025835111951398,0.9146965521141379,0.0016871660688884875,0.000289263765443616
